tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
ASSOCIACAO MISSAO AOS MARINHEIROS,,Associação Privada,1967.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
AUTOMOVEL CLUBE DO ESTADODE SAO PAULO,AUTOMOVEL CLUBE,Associação Privada,1971.0,,,DO MACUCO,Cultura e recreação,Esporte e recreação
ASSOCIACAO COMERCIAL INDUSTRIAL E PESQUEIRA DE BERTIOGA,,Associação Privada,1986.0,,,BERTIOGA,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
ASSOCIACAO CIVICA E BENEFICIENTE DOS APOSENTADOS E PENSIONISTAS DA CATEGORIA DOS ESTIVADORES DO ESTADO DE SAO PAULO,,Associação Privada,1970.0,,,MACUCO,Assistência social,Assistência social
GRUPO ESPIRITA RECANTO DA PAZ,,Associação Privada,1990.0,,,ENCRUZILHADA,Religião,Religião
ASSOCIACAO ATLETICA BANCO REAL,,Associação Privada,1985.0,,,CENTRO,Cultura e recreação,Esporte e recreação
ASSOCIACAO BENEFICENTE REENCONTRO COM A VIDA,REENCONTRO COM A VIDA,Associação Privada,1999.0,,,VILA MATHIAS,Religião,Religião
MOVIMENTO EDUCACIONAL E ASSISTENCIAL DA BAIXADA SANTISTA,MOVEABAS,Associação Privada,1998.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
PROJETO ZONA NOROESTE NUCLEO DE ARTE DE SANTOS - PROJETO ZONNARTE,PROJETO ZONNARTE,Associação Privada,1999.0,,,JARDIM RADIO CLUBE,Saúde,Outros serviços de saúde
COLETIVO ALTERNATIVA VERDE - CAVE,CAVE,Associação Privada,1991.0,,,ESTUARIO,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO FAMA INDUSTRIAL,G.R. FISA,Associação Privada,1987.0,,,VILA NOVA,Cultura e recreação,Esporte e recreação
ORDEM FRANCISCANA SECULAR- FRATERNIDADE DO EMBARE,ROUPEIRO SANTA IZABEL,Associação Privada,1970.0,,,EMBARE,Religião,Religião
ESPORTE CLUBE INDEPENDENCIA,INDEPENDENCIA,Associação Privada,2000.0,,,GONZAGA,Cultura e recreação,Esporte e recreação
IGREJA EVANGELICA VERBO DA VIDA SANTOS - EMBARE,,Associação Privada,2000.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,EMBARE,Religião,Religião
LIGA DE CICLISMO DO LITORAL DO ESTADO DE SO PAULO,LIGA DE CICLISMO DO LITORAL DO ESTADO DE SO PAULO,Associação Privada,2001.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,VILA MATHIAS,Cultura e recreação,Esporte e recreação
CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE,UNIMES,Associação Privada,2001.0,,,ENCRUZILHADA,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO GPA DE DESENVOLVIMENTO HUMANO,,Associação Privada,2001.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
CENTRO DE ESTUDOS FILOSOFICOS DE SANTOS,CEFS,Associação Privada,2000.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ESTRADEIROS DA LIBERDADE - MOTO CLUBE,,Associação Privada,2002.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO ATLETICA ACADEMICA ORLANDO ROLLO,ASSOCIACAO ATLETICA ACADEMICA ORLANDO ROLLO,Associação Privada,2002.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
ROTARACT CLUB DE SANTOS PRAIA - SANTA CECILIA,,Associação Privada,2002.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
MNISTERIO EVANGELICO RAFAH,,Associação Privada,2003.0,,,MACUCO,Religião,Religião
GRUPO DE AMIGOS CEU ABERTO - GACA,,Associação Privada,2005.0,,,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE DIFUSAO COMUNITARIA - ALVORADA NOVA,,Associação Privada,2004.0,,,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO T-33,,Associação Privada,2005.0,,,MACUCO,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA ACADEMICOS BANDEIRANTES DO SABOO,,Associação Privada,1999.0,,,SABOO,Desenvolvimento e defesa de direitos,Outros
MINISTERIO APOSTOLICO CASA DO PAO,CASA DO PAO,Associação Privada,2006.0,,,JOSE MENINO,Religião,Religião
SOCIEDADE ESPORTIVA CANTAREIRA,,Associação Privada,2006.0,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,JARDIM RADIO CLUBE,Cultura e recreação,Esporte e recreação
IGREJA EVANGELICA PALACIO REAL DO REI JESUS,I.E. PALACIO REAL DO REI JESUS,Associação Privada,2006.0,,,CASTELO,Religião,Religião
ASSOCIACAO MATER NINS,ASSOCIACAO MATER NINS,Associação Privada,2007.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,VILA MATHIAS,Cultura e recreação,Cultura e arte
OPALA CLUBE DE SANTOS,OPALA CLUBE DE SANTOS,Associação Privada,2006.0,,,JOSE MENINO,Desenvolvimento e defesa de direitos,Outros
S T C SOCIEDADE DE TRABALHOS COMUNITARIOS,,Associação Privada,2007.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
CLUBE WIN,WIN,Associação Privada,2007.0,,,POMPEIA,Cultura e recreação,Esporte e recreação
IGREJA EVANGELICA ASSEMBLEIA DE DEUS RIBEIRAOPIRENSE,IE ASS. DE DEUS RIBEIRAOPIRENSE FILIAL JD. STA MARIA 8,Organização Religiosa,2008.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,SANTA MARIA,Religião,Religião
NUCLIM NUCLEO DE LIDERANCA DE MULHERES DA ZONA NOROESTE - SANTOS-SP,,Associação Privada,2007.0,,,JARDIM RADIO CLUBE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO LITORAL EM MISSAO,LEMI,Associação Privada,2008.0,,,BOM RETIRO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS MORADORES DO CONJUNTO HABITACIONAL JARDIM RADIO CLUBE,,Associação Privada,2005.0,,,JARDIM RADIO CLUBE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
GREMIO RECREATIVO CULTURAL E SOCIAL ESPORTIVO BLOCO CARNAVALESCO IMPERIO DO PORTO,BLOCO CARNAVALESCO IMPERIO DO PORTO,Associação Privada,2009.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ONG BELISSIMA,ONG BELISSIMA,Associação Privada,2009.0,,,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS MEMBROS DA COMISSAO ORGANIZADORA DO COMAS - CONGRESSO MEDICO ACADEMICO DE SANTOS,,Associação Privada,2010.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ABASSA VOVO BENEDITA DO CONGO MUKONGO E MATAMBA,ABASSA VOVO BENEDITA DO CONGO MUKONGO E MATAMBA,Associação Privada,2009.0,,,VILA SAO JORGE,Cultura e recreação,Cultura e arte
INSTITUTO ESPIRITUAL XAMANICO CASA DO CAMINHO,,Organização Religiosa,2010.0,,,CAMPO GRANDE,Religião,Religião
ASSOCIACAO DE ASSISTENCIA SOCIAL VIVER BEM,INSTITUTO VIVER BEM,Associação Privada,2010.0,,,SAO JORGE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
"LOJA MACONICA ''BARAO DE MAUA'' , N. 3521",,Associação Privada,2010.0,,,VILA MATHIAS,Religião,Religião
CEU ESPIRITUAL SAMAELINO,,Organização Religiosa,2010.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,PONTA DA PRAIA,Religião,Religião
IGREJA EVANGELICA CRISTO A VISAO,IGREJA CRISTO A VISAO,Organização Religiosa,2010.0,,,VILA PROGRESSO,Religião,Religião
ASSOCIACAO CRISTA SOCIAL,ACRIS,Associação Privada,2011.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,MACUCO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS EX-ALUNOS DO CURSO DE SERVICO SOCIAL DA UNIVERSIDADE CATOLICA DE SANTOS - ASSEASSO,,Associação Privada,2010.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO PEIXINHO DO MAR,,Organização Religiosa,2011.0,,,VILA NOVA,Religião,Religião
ASSOCIACAO DE TAEKWONDO FREDY MASSA,ATFM,Associação Privada,2012.0,,,CAMPO GRANDE,Cultura e recreação,Esporte e recreação
ASSOCIACAO CULTURAL GRUPO RAIZES DE VILA NOVA,ASSOCIACAO CULTURAL RAIZES DE VILA NOVA,Associação Privada,2012.0,,,BOM RETIRO,Assistência social; Cultura e recreação,Cultura e arte
CENTRO DE CAPACITACAO DE JOVENS E ADULTOS DE SANTOS - CECAJAS,CRECHE SONHO DE CRIANCA,Associação Privada,2012.0,,,BOM RETIRO,Educação e pesquisa,Educação infantil
"ASSOCIACAO DESPORTIVA E CULTURAL DOS TRABALHADORES NA MOVIMENTACAO DE MERCADORIAS EM GERAL E DOS ARRUMADORES DE SANTOS, SAO VICENTE, GUARUJA....",ADC SINTRAMMAR,Associação Privada,2013.0,,,VILA MATIAS,Cultura e recreação,Cultura e arte
ASSOCIACAO ATLETICA ATLANTA,ATLANTA,Associação Privada,2013.0,,,VILA MATHIAS,Cultura e recreação,Esporte e recreação
"SOCIEDADE DE MELHORAMENTOS, AMIGOS E MORADORES DA VILA BELMIRO",AMIGOS E MORADORES DA VILA BELMIRO,Associação Privada,2007.0,,,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO HABITACIONAL E ASSISTENCIAL SANTA  MARIA GORETTI,,Associação Privada,2014.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
LIVE LAB,LIVE LAB,Associação Privada,2014.0,,,VILA BELMIRO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO ARTE DE REUTILIZAR,ASSOCIACAO ARTE DE REUTILIZAR,Associação Privada,2014.0,,,VILA SAO JORGE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CONSELHO DE MESTRES INSTALADOS DA BAIXADA SANTISTA-CMI-BS,,Associação Privada,2014.0,,,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO S.MAGALHAES,,Associação Privada,2015.0,,,CENTRO,Cultura e recreação,Esporte e recreação
CASA ESPIRITA MARIA MODESTO CRAVO,,Organização Religiosa,2015.0,,,SANTA MARIA,Religião,Religião
SOCIEDADE BRASILEIRA DE TERAPIAS HOLISTICAS,SBTH,Associação Privada,2015.0,,,BOQUEIRAO,Saúde,Outros serviços de saúde
ASSOCIACAO AMIGOS DO ALVORADA,,Associação Privada,2015.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
ASSOCIACAO DE MOTORISTAS DE TAXIS EXECUTIVOS E ESPECIAIS DE SANTOS,EXECUTIVE TAXI,Associação Privada,2015.0,,,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
INSTITUTO DO MAR JUNIOR,,Associação Privada,2016.0,,,VILA BELMIRO,Educação e pesquisa,Atividades de apoio à educação
ASSOCIACAO DE MORADORES DO CONJUNTO CANELEIRA IV,ASSOCIACAO DE MORADORES DO CONJUNTO CANELEIRA IV,Associação Privada,2016.0,,,CANELEIRA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS APOSENTADOS E PENSIONISTAS DA POLICIA CIVIL DO ESTADO DE SAO PAULO,APCESP,Associação Privada,2016.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS MORADORES E COMERCIANTES DO BOQUEIRAO,ASSOCIACAO DOS MORADORES E COMERCIANTES DO BOQUEIRAO,Associação Privada,2016.0,,,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
ABCD-ASSOCIACAO BRASILEIRA DE COMBATE AS DROGAS,,Associação Privada,1995.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO CULTURAL E ESPORTIVO MEMORIAL,,Associação Privada,1996.0,,,GONZAGA,Cultura e recreação,Esporte e recreação
GREMIO RECREATIVO E ESPORT DOS FUNC DO BANESPA VMATH,GREVILA,Associação Privada,1995.0,,,VILA MATIAS,Cultura e recreação,Esporte e recreação
CVI - CENTRO DE VIDA INDEPENDENTE DE SANTOS,CVI/SANTOS,Associação Privada,1995.0,,,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
IGREJA PRESBITERIANA DO MARAPE,PRESBITERIANA DO MARAPE,Associação Privada,1996.0,,,MARAPE,Religião,Religião
COMUNIDADE EVANGELICA PRIMITIVOS DA FE,,Associação Privada,1997.0,,,MORRO DO SAO BENTO,Religião,Religião
CLUBE DE BOCHAS PONTE VERMELHA,,Associação Privada,1982.0,,,MARAPE,Cultura e recreação,Esporte e recreação
CEFAS CENTRO DE FORMACAO PARA APOSTOLADO DE SANTOS,,Associação Privada,1980.0,,,JABAQUARA,Religião,Religião
SPARTA HALTERES CLUBE,,Associação Privada,1975.0,,,MACUCO,Cultura e recreação,Esporte e recreação
GREMIO RECREATIVO COSTA BRAVA,,Associação Privada,1977.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
CASA ESPIRITA ALEM MAR,CEAM,Associação Privada,1977.0,,,MACUCO,Religião,Religião
"GREMIO RECREATIVO, CULTURAL E ESCOLA DE SAMBA UNIDOS DOS MORROS",G.R.C.E.S. U. M.,Associação Privada,1978.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MORRO NOVA  CINTRA,Desenvolvimento e defesa de direitos,Outros
CENTRO DE ESTUDO DE CIENCIAS DO COMPORTAMENTO DE SANTOS,,Associação Privada,1979.0,,,JOSE MENINO,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA ULTIMA HORA,ESCOLA DE SAMBA ULTIMA HORA,Associação Privada,1980.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
TELESP CLUBE DE SANTOS,TCS,Associação Privada,1981.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO CULTURAL CLUBE DO SAMBA,CLUBE DO SAMBA,Associação Privada,1984.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
CLUBE DE DIRETORES LOJISTAS DA ZONA LESTE SANTOS,,Associação Privada,1985.0,,,EMBARE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO RECREATIVA E CULTURAL REAL MOCIDADE SANTISTA - ARCRMS,ESCOLA DE SAMBA REAL MOCIDADE,Associação Privada,1985.0,,,MARAPE,Cultura e recreação,Cultura e arte
FEDERACAO DE BANDEIRANTES DO BRASIL,,Associação Privada,1972.0,,,Não informado,Desenvolvimento e defesa de direitos,Outros
COMUNIDADE MISSIONARIA DA PAZ NO BRASIL,,Associação Privada,1998.0,,,VILA SAO JORGE,Religião,Religião
ASSOCIACAO ATLETICA ACADEMICA DA FACULDADE DE MEDICINA DA UNIMES,,Associação Privada,1998.0,,,VILA MATIAS,Desenvolvimento e defesa de direitos,Outros
TENDA ESPIRITA DE UMBANDA ESTRELA D ALVA,,Associação Privada,1985.0,,,MARAPE,Religião,Religião
MITRA DIOCESANA DE SANTOS,PAROQUIA SAO JORGE MARTIR,Organização Religiosa,1972.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ESTUARIO,Religião,Religião
LIGA SANTISTA DE BASKETBALL,LIGA SANTISTA DE BASKETBALL,Associação Privada,1996.0,,,VILA MATHIAS,Cultura e recreação,Esporte e recreação
SMTC ATLETICO CLUBE,,Associação Privada,1981.0,,,JABAQUARA,Cultura e recreação,Esporte e recreação
LIGA SANTISTA DE BASKETBALL,,Associação Privada,1990.0,,,VILA MATHIAS,Cultura e recreação,Esporte e recreação
INSTITUTO BIBLICO VERBO DA VIDA,IBVV,Associação Privada,1989.0,,,MACUCO,Religião,Religião
CENT CULT IRRAD MENTAL TATTWA PAULINO PENNIN DE CAMPOS,,Fundação Privada,1970.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
LIGA SANTISTA DE VOLEIBOL,LSV,Associação Privada,1970.0,,,APARECIDA,Cultura e recreação,Esporte e recreação
GREMIO ESPORTIVO RECREATIVO LIQUIGAS,,Associação Privada,1990.0,,,ALEMOA,Cultura e recreação,Esporte e recreação
LIGA SANTISTA DE TAMBOREU,,Associação Privada,1990.0,,,MACUCO,Cultura e recreação,Esporte e recreação
GREMIO RECREATIVO SANGUE NOVO,,Associação Privada,1987.0,,,APARECIDA,Cultura e recreação,Esporte e recreação
"CENTRO CULTURAL GETAL - GRUPO ESPIRITA TRABALHO, AMOR E LUZ",GETAL,Associação Privada,1998.0,,,PONTA DA PRAIA,Educação e pesquisa,Outras formas de educação/ensino
